Year,Series,Company,No.,Faction,Name,Secondary Name,Alternate Mode,Size Class,Notes,Distribution,Original Price
1984,The Transformers,Hasbro,-,Autobot,Optimus Prime,Convoy,White Freightliner Cabover Engine Tractor Trailer FLA 8664T,Leader,White Freightliner Cabover Engine Tractor Trailer FLA 8664T. The early versions were near identical to the Diaclone Battle Convoy & came with metal plates in the trailer rather than stickers and it also came with  'swollen' accessories and a grey Roller. The early box also featured an error; the radar dish is visible under the box art and has not been cropped from the underside of the box. Later releases had the standard thinner gun and blue Roller and stickers in the trailer instead of metal plates.,Mainline,$23.99
1984,The Transformers,Hasbro,-,Autobot,Bluestreak,Streak,Nissan Fairlady 280Z-T,Autobot Car,"Silver Nissan Fairlady 280Z-T. Although the box art and catalogues depict a ""blue"" Bluesteak, this was not released in the Transformers line.",Mainline,$9.95
1984,The Transformers,Hasbro,-,Autobot,Hound,Hound,Mitsubishi J59 Jeep,Autobot Car,Near identical to the original Diaclone version,Mainline,$9.95
1984,The Transformers,Hasbro,-,Autobot,Ironhide,Ironhide,Nissan Cherry Vanette,Autobot Car,"Red Cherry Vannette, this colour was unreleased in the Japanese Diaclone series but did appear in GiGs Trasformer series. Ironhide was also unreleased in Japan. As Ironhide did not have a head, there was a face sticker included to attach to the drivers seat.",Mainline,$9.95
1984,The Transformers,Hasbro,-,Autobot,Jazz,Meister,1976 Martini Racing Porsche 935 Turbo,Autobot Car,"Martini (deliberately misspelt Martinii) team racing livery. Takara had previously released a Cosmo Porsche in 1977 under the Microman Command line, these came in red, blue and white.",Mainline,$9.95
1984,The Transformers,Hasbro,-,Autobot,Mirage,Ligier,Citanes JS11-F1 Racing Car,Autobot Car,"Citanes is a reworded ""Gitanes"" which are a brand of French cigarettes",Mainline,$9.95
1984,The Transformers,Hasbro,-,Autobot,Prowl,Prowl,Nissan Fairlady 280Z-T Police Car,Autobot Car,,Mainline,$9.95
1984,The Transformers,Hasbro,-,Autobot,Ratchet,Ratchet,Nissan Ambulance Van C22 (Vanette),Autobot Car,"Ratchet was initially supposed to be a female character, the name is based on ""Nurse Rached"" from ""One Flew Over the Cuckoo's Nest"". The early versions of Ratchet feature a red cross on the van roof which is also depicted on the box art. This was later removed, potentially at the Red Cross' (international humanitarian aid group) as they are protective of their brand. As Ratchet did not have a head, there was a face sticker included to attach to the drivers seat.",Mainline,$9.95
1984,The Transformers,Hasbro,-,Autobot,Sideswipe,Lambor,Lamborghini Countach LP500S,Autobot Car,"Red Lamborghini Countach LP500S. Due to the similarities with Sunstreaker, their profiles were accidentlly switched.",Mainline,$9.95
1984,The Transformers,Hasbro,-,Autobot,Skids,Skids,Honda City Turbo,Autobot Car,"Honda City Turbo. Skids was released late 1984 although he was not advertised with the 1984 Autobot cars. There are two different versions of the box, one with a 1984 date and the other with a 1985 date and amended product code. Takara's 2002 reissue of Skids confirms the 1984 release date.",Mainline,$9.95
